unit_code,program,do_tuoi,level,sub_level,unit_type,assessment,sessions,duration_month,thoi_luong_buoi_phut,order_global,topic_no,chu_de,bai_hoc,tu_duy_khai_niem_dat_duoc,ghi_chu
G23,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,66,1,Số có 3 chữ số,Con số và các phép toán,Số đếm đến 1000,
G23,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,66,2,Góc ở tâm đường tròn,Hình học,Góc và hình phẳng,
G23,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,66,3,Vị vua thấp bé,Đo lường,Chiều dài,
G23,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,Thi cuối kỳ,4,1,110,66,4,Nòng nọc và ếch,Trò chơi và câu đố,Giải bài toán mê cung,
R11,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,67,1,Trò chơi với hình khối I,Hình học,Hình khối,
R11,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,67,2,Bảng nhân II,Con số và các phép toán,Bảng phép nhân,
R11,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,67,3,Trò chơi theo bộ,Kiểu mẫu và giải toán,Nhóm,
R11,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,67,4,Phân số ma thuật,Trò chơi và câu đố,Xác định quy luật của kiểu mẫu,
R12,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,68,1,Truy tìm con số,Kiểu mẫu và giải toán,Quy luật của kiểu mẫu,
R12,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,68,2,Polyiamond,Hình học,Cảm nhận không gian,
R12,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,68,3,Thực nghiệm toán học,Kiểu mẫu và giải toán,Ước lượng,
R12,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,68,4,Câu đố que diêm,Trò chơi và câu đố,Chiến lược giải toán,
R13,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,69,1,Xúc xắc và đồng xu,Lý luận & Xác suất & Số liệu,Trò chơi xác suất,
R13,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,69,2,Chơi cùng giấy màu,Hình học,Hình sau khi gấp và cắt,
R13,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,,4,1,110,69,3,20 câu hỏi,Kiểu mẫu và giải toán,Truy tìm con số bí mật,
R13,Black Hole,7–11 tuổi (Lớp 2–5),R,R1,LESSON,Thi giữa kỳ,4,1,110,69,4,Cắt hình vuông,Trò chơi và câu đố,Cắt hình tứ giác,
R21,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,70,1,Số lẻ và số chẵn,Kiểu mẫu và giải toán,Số lẻ và số chẵn,
R21,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,70,2,Kiểu mẫu của các hình dạng chuyển động,Hình học,"Hình khối 3D - Bề mặt, Đỉnh và Cạnh",
R21,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,70,3,Câu đố Pentomino,Hình học,Tính chất của hình 2D,
R21,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,70,4,Trò chơi trốn thoát,Đo lường,So sánh các số lượng khác nhau,
